Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/baby-lapsit"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2021-11/Storytime.png?h=fa98897e"" alt=""Baby Lapsit""></a>"
356,https://events.hmcpl.org/taxonomy/term/153,Author Event | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-22/discovering-mary-katharine-goddard-author-betty-bolte"" class=""teaser__image-link"" aria-hidden=""true"">"
356,https://events.hmcpl.org/taxonomy/term/153,Author Event | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/index.php/event/2026-04-22/earth-day-heather-l-montgomery"" class=""teaser__image-link"" aria-hidden=""true"">"
356,https://events.hmcpl.org/taxonomy/term/153,Author Event | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-05-30/read-around-block"" class=""teaser__image-link"" aria-hidden=""true"">  <img loading=""lazy"" src=""/sites/default/files/styles/4to3_740x556/public/2021-11/Storytime.png?h=fa98897e&amp;itok=PpWI9WjR"" width=""740"" height=""556"" alt=""Storytime"" typeof=""foaf:Image"">


</a>"
356,https://events.hmcpl.org/taxonomy/term/153,Author Event | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-08-29/come-meet-your-next-favorite-author"" class=""teaser__image-link"" aria-hidden=""true"">"
356,https://events.hmcpl.org/taxonomy/term/153,Author Event | HMCPL Intercept,serious,link-in-text-block,Ensure links are distinguished from surrounding text in a way that does not rely on color,Links must be distinguishable without relying on color,https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI,"<a href=""/index.php/taxonomy/term/153"" hreflang=""en"">Author Event</a>"
356,https://events.hmcpl.org/taxonomy/term/153,Author Event | HMCPL Intercept,serious,link-in-text-block,Ensure links are distinguished from surrounding text in a way that does not rely on color,Links must be distinguishable without relying on color,https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI,"<a href=""/index.php/taxonomy/term/153"" hreflang=""en"">Author Event</a>"
356,https://events.hmcpl.org/taxonomy/term/153,Author Event | HMCPL Intercept,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,"<html lang=""en"" dir=""ltr"" prefix=""content: http://purl.org/rss/1.0/modules/content/  dc: http://purl.org/dc/terms/  foaf: http://xmlns.com/foaf/0.1/  og: http://ogp.me/ns#  rdfs: http://www.w3.org/2000/01/rdf-schema#  schema: http://schema.org/  sioc: http://rdfs.org/sioc/ns#  sioct: http://rdfs.org/sioc/types#  skos: http://www.w3.org/2004/02/skos/core#  xsd: http://www.w3.org/2001/XMLSchema# "" class=""no-touchevents js"" data-once=""cvjquery drupal-dialog-deprecation-listener off-canvas"">"
