Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
50,https://clearview.libnet.info/event/14173478,Kids in the Kitchen - Clearview Library District,./reports/50.html,9,1,8,20,0
51,https://clearview.libnet.info/event/14226839,Bookmobile Stop at Founders Green Park - Clearview Library District,./reports/51.html,10,1,9,23,1
52,https://clearview.libnet.info/event/14146484,Chess Club - Clearview Library District,./reports/52.html,9,1,8,20,0
53,https://clearview.libnet.info/event/14208386,Tween Time - Clearview Library District,./reports/53.html,9,1,7,21,0
54,https://clearview.libnet.info/event/14226848,Bookmobile Stop at Cherry Park at RainDance - Clearview Library District,./reports/54.html,10,1,9,23,1
55,https://clearview.libnet.info/event/14187123,Common Ground - Clearview Library District,./reports/55.html,9,1,7,21,0
56,https://clearview.libnet.info/event/14028746,Bookmobile Stop at Pelican Farms Park - Clearview Library District,./reports/56.html,10,1,9,23,1
57,https://clearview.libnet.info/event/14161431,StoryWalk Storytime at Lakeview Park - Clearview Library District,./reports/57.html,8,0,7,18,1
58,https://clearview.libnet.info/event/14179068,History by the Book Club - Clearview Library District,./reports/58.html,8,1,6,21,0
59,https://clearview.libnet.info/event/14028618,Bookmobile Stop at Hollister Lake Elementary - Clearview Library District,./reports/59.html,10,1,9,23,1
6,https://clearview.libnet.info/event/14172003,"Read, Rhyme, and Romp - Clearview Library District",./reports/6.html,7,0,6,15,0
60,https://clearview.libnet.info/event/14172519,Young Scientists - Clearview Library District,./reports/60.html,9,1,8,21,0
61,https://clearview.libnet.info/event/14028782,Bookmobile Stop at Overlook Park - Clearview Library District,./reports/61.html,10,1,9,23,1
62,https://clearview.libnet.info/event/14028801,Bookmobile Stop at Village East Park - Clearview Library District,./reports/62.html,10,1,9,23,1
63,https://clearview.libnet.info/event/14028832,Bookmobile Stop at Promontory Community Park - Clearview Library District,./reports/63.html,10,1,9,23,1
64,https://clearview.libnet.info/event/14170454,We the People - Clearview Library District,./reports/64.html,9,1,8,20,0
65,https://clearview.libnet.info/event/14197001,Babies and Books - Clearview Library District,./reports/65.html,9,1,7,21,0
66,https://clearview.libnet.info/event/14197022,Stay and Play - Clearview Library District,./reports/66.html,9,1,6,21,0
67,https://clearview.libnet.info/event/14212026,Storytime at the School House - Clearview Library District,./reports/67.html,8,0,6,15,1
68,https://clearview.libnet.info/event/14211988,Storytime at the School House - Clearview Library District,./reports/68.html,8,0,6,15,1
69,https://clearview.libnet.info/event/14208621,Reading Bugs - Clearview Library District,./reports/69.html,9,1,7,21,0
7,https://clearview.libnet.info/event/14172064,Stay and Play - Clearview Library District,./reports/7.html,7,0,6,15,0
70,https://clearview.libnet.info/event/14173565,Dungeons & Dragons - Clearview Library District,./reports/70.html,10,1,7,21,1
71,https://clearview.libnet.info/event/14146530,Songs and Stories - Clearview Library District,./reports/71.html,10,1,7,21,1
72,https://clearview.libnet.info/event/14172004,"Read, Rhyme, and Romp - Clearview Library District",./reports/72.html,7,0,6,15,0
73,https://clearview.libnet.info/event/14172065,Stay and Play - Clearview Library District,./reports/73.html,7,0,6,15,0
74,https://clearview.libnet.info/event/14212098,Clearview Homeschooler's Academy - Clearview Library District,./reports/74.html,8,1,7,14,0
75,https://clearview.libnet.info/event/14028525,Bookmobile Stop at Grandview Elementary - Clearview Library District,./reports/75.html,10,1,9,23,1
76,https://clearview.libnet.info/event/14172823,Lego Engineers - Clearview Library District,./reports/76.html,9,1,7,21,0
77,https://clearview.libnet.info/event/14028636,Bookmobile Stop at Northern Lights Park - Clearview Library District,./reports/77.html,10,1,9,23,1
78,https://clearview.libnet.info/event/14526850,PAWS for Reading - Clearview Library District,./reports/78.html,9,1,7,21,0
79,https://clearview.libnet.info/event/14028653,Bookmobile Stop at Windshire Park - Clearview Library District,./reports/79.html,10,1,9,23,1
8,https://clearview.libnet.info/event/14028524,Bookmobile Stop at Grandview Elementary - Clearview Library District,./reports/8.html,10,1,9,23,1
80,https://clearview.libnet.info/event/14028662,Bookmobile Stop at Covenant Park - Clearview Library District,./reports/80.html,10,1,9,23,1
81,https://clearview.libnet.info/event/14147793,"Read, Rhyme, and Romp - Clearview Library District",./reports/81.html,9,1,7,21,0
82,https://clearview.libnet.info/event/14497490,PAWS for Reading - Clearview Library District,./reports/82.html,9,1,8,20,0
83,https://clearview.libnet.info/event/14146842,Yoga Stories - Clearview Library District,./reports/83.html,10,1,8,20,1
84,https://clearview.libnet.info/event/14147871,Stay and Play - Clearview Library District,./reports/84.html,9,1,6,21,0
85,https://clearview.libnet.info/event/14226726,Bookmobile Stop at Mountain Shadows Community Park - Clearview Library District,./reports/85.html,10,1,9,23,1
86,https://clearview.libnet.info/event/14178837,Tea and a Bird Walk - Clearview Library District,./reports/86.html,7,0,6,15,0
87,https://clearview.libnet.info/event/14226780,Bookmobile Stop at Orchard Hill Elementary - Clearview Library District,./reports/87.html,10,1,9,23,1
88,https://clearview.libnet.info/event/14147215,Lego Explorers - Clearview Library District,./reports/88.html,10,1,8,20,1
89,https://clearview.libnet.info/event/14158920,After-School Collective - Clearview Library District,./reports/89.html,9,1,7,21,0
9,https://clearview.libnet.info/event/14174297,After-School Collective - Clearview Library District,./reports/9.html,9,1,8,20,0
