Source Page,Link,Status,Link Text
"https://clearviewlibrary.org/programs-events/upcoming-events/for-adults","https://clearview.marmot.org/Search/Results?lookfor=&basicType=Keyword&basicType=Keyword&filter%5B%5D=format_clearview%3A%22Book+Club+Kit%22&sort=relevance&view=list&searchSource=local",403,"CHECK OUT OUR
Book Club Kits

Share your love of reading and conversation by checking out one of our captivating book club kits!"
"https://clearviewlibrary.org/programs-events/upcoming-events/for-adults","https://myctbl.cde.state.co.us/",FAILED,"Colorado Talking Book Library (CTBL)"
"https://clearviewlibrary.org/programs-events/upcoming-events/for-teens","http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s4119092&profile=histrc",400,"History Reference Center"
"https://clearviewlibrary.org/programs-events/upcoming-events/book-clubs","https://clearview.marmot.org/Search/Results?lookfor=Book+Adventure+Boxes&basicType=Keyword&basicType=Keyword&filter%5B%5D=format_clearview%3A%22Kit%22&sort=relevance&view=list&searchSource=local",403,"place a hold in our online catalog"
"https://clearviewlibrary.org/programs-events/just-for-kids","http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s4119092&profile=explora-es",400,"Explora Elementary School"
"https://clearviewlibrary.org/programs-events/just-for-kids","http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s4119092&profile=ehost&defaultdb=funk",400,"Funk & Wagnall"
"https://clearviewlibrary.org/programs-events/just-for-kids","http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s4119092&profile=ehost&defaultdb=prh",400,"Search Primary"
"https://clearviewlibrary.org/services/technology/3d-printing","https://www.myminifactory.com/",403,"My Mini Factory 3D printing website."
"https://clearviewlibrary.org/services/technology/3d-printing","http://www.yeggi.com/",403,"Yeggi search engine for 3D printable files."
"https://clearviewlibrary.org/about-us/learn-more/work-with-us","https://www.indeed.com/viewjob?jk=9c59f94ad3c3b938&from=shareddesktop_copy",403,"Design Librarian I (Youth Services)"
"https://clearviewlibrary.org/about-us/learn-more/work-with-us","https://www.indeed.com/viewjob?jk=4bbb686bf6d745b1&from=shareddesktop_copy",403,"Design Librarian I (Adult Services)"
"https://clearviewlibrary.org/about-us/learn-more/work-with-us","https://www.indeed.com/viewjob?jk=4462b782afddcc6e&from=shareddesktop_copy",403,"Librarian II"
"https://clearviewlibrary.org/about-us/learn-more/news/september-library-card-sign-month","https://bit.ly/CLDExploreKitCollection",403,"Explore Kits"
"https://clearviewlibrary.org/about-us/learn-more/news/september-library-card-sign-month","https://bit.ly/CLDVoxBooks",403,"VOX Books"
"https://clearviewlibrary.org/about-us/learn-more/news/september-library-card-sign-month","https://bit.ly/CLDBookAdventureBoxes",403,"Book Adventure Boxes for Little Ones"
"https://clearviewlibrary.org/about-us/learn-more/news/september-library-card-sign-month","https://bit.ly/CLDbookclubkit",403,"Book Club Kits for Adults"
"https://clearviewlibrary.org/about-us/learn-more/news/september-library-card-sign-month","https://bit.ly/CLDSignup",403,"Get a Library Card"
"https://clearviewlibrary.org/about-us/learn-more/news/september-library-card-sign-month","https://bit.ly/CLDCreativebug",403,"Creativebug"
"https://clearviewlibrary.org/about-us/learn-more/news/america-250-starts-here-explore-stories-shaped-us","https://clearview.marmot.org/MyAccount/MyList/71474",403,"Colorado 150"
"https://clearviewlibrary.org/about-us/learn-more/news/america-250-starts-here-explore-stories-shaped-us","https://clearview.marmot.org/MyAccount/MyList/70617",403,"Dig Into America's 250 Years"
"https://clearviewlibrary.org/about-us/learn-more/news/america-250-starts-here-explore-stories-shaped-us","https://clearview.marmot.org/MyAccount/MyList/72658",403,"Young Explorers: The Stories That Shaped Us"
"https://clearviewlibrary.org/about-us/learn-more/news/america-250-starts-here-explore-stories-shaped-us","https://america250.org/americas-soundtrack/",403,"America250 Music Collection"
"https://clearviewlibrary.org/about-us/learn-more/news/america-250-starts-here-explore-stories-shaped-us","https://www.colorado.com/am250-co150-events",403,"Colorado Events Calendar"
"https://clearviewlibrary.org/about-us/learn-more/news/5-ways-library-can-help-homework","http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s4119092&profile=ehost&defaultdb=buh",400,"Business Source Premier"
"https://clearviewlibrary.org/about-us/learn-more/news/5-ways-library-can-help-homework","http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s4119092&profile=explora-hs",400,"middle"
"https://clearviewlibrary.org/form/suggest-a-purchase","https://pika.clearviewlibrary.org/",405,"already have the item in our catalog"
"https://clearviewlibrary.org/about-us/learn-more/news/award-winning-author-joel-h-morris-headline-clearview-reads-2026","https://www.cldfriends.org/clearview_reads_2026_joel_morris_tickets",FAILED,"General admission tickets"
